,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
7190 ,11223 ,2 ,0 ,2286 ,87 ,1 ,12 ,1100000 
7191 ,11223 ,2 ,0 ,1384 ,107 ,1 ,13 ,1414464 
7192 ,11223 ,2 ,0 ,2944 ,97 ,1 ,12 ,950000 
7193 ,11223 ,2 ,0 ,3120 ,97 ,1 ,12 ,988000 
7194 ,11223 ,2 ,0 ,3120 ,97 ,1 ,12 ,895000 
7195 ,11223 ,2 ,0 ,3828 ,87 ,1 ,12 ,1725000 
7196 ,11223 ,2 ,0 ,1440 ,87 ,1 ,11 ,850000 
7197 ,11223 ,2 ,0 ,2110 ,57 ,1 ,11 ,630200 
7198 ,11223 ,2 ,0 ,1696 ,97 ,1 ,11 ,925000 
7199 ,11223 ,2 ,0 ,1492 ,67 ,1 ,13 ,759000 
7200 ,11223 ,2 ,0 ,1435 ,67 ,1 ,13 ,995000 
7201 ,11223 ,2 ,0 ,2163 ,62 ,1 ,11 ,1225000 
7202 ,11223 ,2 ,0 ,2184 ,62 ,1 ,11 ,940000 
7203 ,11223 ,2 ,0 ,1863 ,77 ,1 ,13 ,920000 
7204 ,11223 ,2 ,0 ,1656 ,97 ,1 ,13 ,750000 
7205 ,11223 ,2 ,0 ,1440 ,92 ,1 ,14 ,835000 
7206 ,11223 ,2 ,0 ,2496 ,92 ,1 ,11 ,727845 
7207 ,11223 ,2 ,0 ,2400 ,82 ,1 ,11 ,680000 
7208 ,11223 ,2 ,0 ,2235 ,57 ,1 ,11 ,700000 
7209 ,11223 ,2 ,0 ,2280 ,57 ,1 ,13 ,1100000 
7210 ,11223 ,2 ,0 ,2036 ,97 ,1 ,13 ,1200000 
7211 ,11223 ,2 ,0 ,2252 ,77 ,1 ,11 ,980000 
7212 ,11223 ,2 ,0 ,1710 ,87 ,1 ,11 ,20000 
7213 ,11223 ,2 ,0 ,2680 ,57 ,1 ,14 ,700000 
7214 ,11223 ,2 ,0 ,1792 ,87 ,1 ,11 ,900000 
7215 ,11235 ,2 ,0 ,2760 ,52 ,1 ,11 ,1350000 
7216 ,11235 ,2 ,0 ,2868 ,57 ,1 ,11 ,850000 
7217 ,11235 ,2 ,0 ,1706 ,72 ,1 ,11 ,1075000 
7218 ,11235 ,2 ,0 ,3600 ,87 ,1 ,11 ,980000 
7219 ,11235 ,2 ,0 ,2472 ,57 ,1 ,14 ,1119000 
7220 ,11235 ,2 ,0 ,2088 ,87 ,1 ,11 ,990000 
7221 ,11235 ,2 ,0 ,1652 ,72 ,1 ,11 ,889000 
7222 ,11235 ,2 ,0 ,1736 ,72 ,1 ,11 ,750000 
7223 ,11223 ,2 ,0 ,2075 ,67 ,1 ,11 ,850000 
7224 ,11223 ,2 ,0 ,2013 ,87 ,1 ,13 ,570000 
7225 ,11223 ,2 ,0 ,2070 ,57 ,1 ,11 ,725000 
7226 ,11223 ,2 ,0 ,2372 ,87 ,1 ,13 ,1135000 
7227 ,11223 ,2 ,0 ,1680 ,87 ,1 ,13 ,580000 
7228 ,11235 ,2 ,0 ,1827 ,107 ,1 ,14 ,880000 
7229 ,11235 ,2 ,0 ,1905 ,82 ,1 ,14 ,300000 
